genes	geneENSTID	geneENSPID	geneUniProtID	geneSymbols	geneEntrezID	geneNames	geneAliases	compartments	compDataSource
"ENSG00000142513"	"ENST00000270593"	"ENSP00000270593"	"Q9BZG2"	"ACP4"	"93650"	"acid phosphatase 4"	"ACPT"	"Cell membrane;Lysosome"	"DeepLoc2"
"ENSG00000142583"	"ENST00000377424;ENST00000487492;ENST00000377414;ENST00000484798;ENST00000474145;ENST00000479813;ENST00000486632;ENST00000487835;ENST00000464985;ENST00000473209"	"ENSP00000366641;ENSP00000366631;ENSP00000467039;ENSP00000464880;ENSP00000468590;ENSP00000465507;ENSP00000465382;ENSP00000467840;ENSP00000465285"	"P22732"	"SLC2A5"	"6518"	"solute carrier family 2 member 5"	"GLUT5"	"Cell membrane"	"DeepLoc2"
"ENSG00000142619"	"ENST00000375460"	"ENSP00000364609"	"Q9ULW8"	"PADI3"	"51702"	"peptidyl arginine deiminase 3"	"PDI3"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000142623"	"ENST00000375471;ENST00000483501;ENST00000648847;ENST00000460293"	"ENSP00000364620"	"Q9ULC6"	"PADI1"	"29943"	"peptidyl arginine deiminase 1"	"HPAD10;PAD1;PDI;PDI1"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000142657"	"ENST00000491493;ENST00000487775;ENST00000270776;ENST00000477958;ENST00000483936;ENST00000465632;ENST00000460189;ENST00000493288;ENST00000498356;ENST00000496718"	"ENSP00000466358;ENSP00000270776;ENSP00000465311;ENSP00000466156;ENSP00000466574;ENSP00000467362"	"P52209"	"PGD"	"5226"	"phosphogluconate dehydrogenase"	""	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000142892"	"ENST00000370812;ENST00000445065;ENST00000487906;ENST00000359130;ENST00000478391"	"ENSP00000359848;ENSP00000388854;ENSP00000474518;ENSP00000352041"	"Q92643"	"PIGK"	"10026"	"phosphatidylinositol glycan anchor biosynthesis class K"	"GPI8;hGPI8"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000142920"	"ENST00000478635;ENST00000481886;ENST00000475935;ENST00000294517;ENST00000462920;ENST00000471119;ENST00000495135;ENST00000477570;ENST00000483027;ENST00000492420;ENST00000373443;ENST00000497710;ENST00000473089;ENST00000652171;ENST00000484656;ENST00000373440;ENST00000652381;ENST00000373441;ENST00000478204;ENST00000497280;ENST00000492521"	"ENSP00000294517;ENSP00000362542;ENSP00000498229;ENSP00000362539;ENSP00000362540"	"Q96A70"	"AZIN2"	"113451"	"antizyme inhibitor 2"	"ADC;KIAA1945;ODC-p;ODC1L;ODCp"	"Endoplasmic reticulum;Golgi apparatus;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000142973"	"ENST00000546128;ENST00000413093;ENST00000640628;ENST00000534708;ENST00000271153;ENST00000371923;ENST00000529715;ENST00000464439;ENST00000371919;ENST00000614163;ENST00000526297;ENST00000452782;ENST00000468637;ENST00000481248;ENST00000497005"	"ENSP00000492115;ENSP00000433367;ENSP00000271153;ENSP00000360991;ENSP00000443212;ENSP00000433068;ENSP00000360987;ENSP00000484629;ENSP00000438995"	"P13584"	"CYP4B1"	"1580"	"cytochrome P450 family 4 subfamily B member 1"	""	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000143036"	"ENST00000446120;ENST00000271227;ENST00000527077;ENST00000529450;ENST00000467909;ENST00000422520;ENST00000532427;ENST00000475883;ENST00000530397;ENST00000532670"	"ENSP00000389143;ENSP00000271227;ENSP00000433641;ENSP00000431836;ENSP00000432789;ENSP00000410832;ENSP00000436661;ENSP00000434457;ENSP00000432880"	"Q8N4M1"	"SLC44A3"	"126969"	"solute carrier family 44 member 3"	"CTL3;MGC45474"	"Cell membrane"	"DeepLoc2"
"ENSG00000143149"	"ENST00000354775;ENST00000463610;ENST00000491436;ENST00000461664;ENST00000471457"	"ENSP00000346827"	"P49189"	"ALDH9A1"	"223"	"aldehyde dehydrogenase 9 family member A1"	"ALDH4;ALDH7;ALDH9;E3"	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143153"	"ENST00000367816;ENST00000367815;ENST00000494797"	"ENSP00000356790;ENSP00000356789;ENSP00000477015"	"P05026"	"ATP1B1"	"481"	"ATPase Na+/K+ transporting subunit beta 1"	"ATP1B"	"Cell membrane"	"DeepLoc2"
"ENSG00000143156"	"ENST00000530739;ENST00000493481;ENST00000472647;ENST00000367811;ENST00000525440;ENST00000483228;ENST00000528517;ENST00000480478;ENST00000524967;ENST00000469474;ENST00000485609;ENST00000472984;ENST00000491225;ENST00000527460"	"ENSP00000433341;ENSP00000356785;ENSP00000431467;ENSP00000432753"	"Q9Y5B8"	"NME7"	"29922"	"NME/NM23 family member 7"	"CFAP67;FLJ37194;NM23-H7"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143158"	"ENST00000367846;ENST00000271373;ENST00000458574"	"ENSP00000356820;ENSP00000271373;ENSP00000392874"	"O95563"	"MPC2"	"25874"	"mitochondrial pyruvate carrier 2"	"BRP44;DKFZP564B167;SLC54A2"	"Inner mitochondria"	"SwissProt"
"ENSG00000143179"	"ENST00000367879;ENST00000642653;ENST00000462329;ENST00000464197;ENST00000469256;ENST00000470820;ENST00000463772;ENST00000479872;ENST00000475333"	"ENSP00000356853;ENSP00000494961;ENSP00000476692;ENSP00000476327"	"Q9BZX2"	"UCK2"	"7371"	"uridine-cytidine kinase 2"	"UMPK"	"Nucleus"	"CellAtlas"
"ENSG00000143198"	"ENST00000367889;ENST00000367888;ENST00000461308;ENST00000460632;ENST00000495447;ENST00000367885;ENST00000367884;ENST00000488688;ENST00000367883;ENST00000461759;ENST00000609263;ENST00000477450;ENST00000494074;ENST00000627653"	"ENSP00000356864;ENSP00000356863;ENSP00000356860;ENSP00000356859;ENSP00000356858;ENSP00000487151"	"O14880"	"MGST3"	"4259"	"microsomal glutathione S-transferase 3"	"GST-III"	"Endoplasmic reticulum;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000143199"	"ENST00000545172;ENST00000367851;ENST00000485964;ENST00000367848;ENST00000476818"	"ENSP00000441992;ENSP00000356825;ENSP00000476402;ENSP00000356822;ENSP00000475192"	"Q96PN6"	"ADCY10"	"55811"	"adenylate cyclase 10"	"HCA2;RP1-313L4.2;SAC;SACI;Sacy"	"Mitochondria;Cytosol;Nucleus"	"SwissProt"
"ENSG00000143207"	"ENST00000461830;ENST00000367667;ENST00000367669;ENST00000367666;ENST00000649803;ENST00000482305;ENST00000308769;ENST00000459744;ENST00000498306;ENST00000491600;ENST00000474194"	"ENSP00000356639;ENSP00000356641;ENSP00000356638;ENSP00000497397;ENSP00000310943;ENSP00000437212;ENSP00000433810;ENSP00000437275;ENSP00000433517"	"Q8NHY2"	"COP1"	"64326"	"COP1 E3 ubiquitin ligase"	"CFAP78;FAP78;FLJ10416;RFWD2;RNF200"	"Cytosol;Nucleus"	"SwissProt"
"ENSG00000143224"	"ENST00000652729;ENST00000352210;ENST00000367999;ENST00000497522;ENST00000479246;ENST00000470607;ENST00000651150;ENST00000539753;ENST00000652182;ENST00000652473;ENST00000544598;ENST00000495483;ENST00000468968;ENST00000535223;ENST00000490768;ENST00000462866;ENST00000652103;ENST00000650741;ENST00000652297;ENST00000494216;ENST00000462977;ENST00000460611;ENST00000537523;ENST00000541818;ENST00000652100;ENST00000537829;ENST00000466452"	"ENSP00000498609;ENSP00000343943;ENSP00000356978;ENSP00000491230;ENSP00000492580;ENSP00000498615;ENSP00000439613;ENSP00000498884;ENSP00000498477;ENSP00000444216;ENSP00000490967;ENSP00000443769;ENSP00000491797;ENSP00000498501;ENSP00000499106;ENSP00000498871;ENSP00000439544;ENSP00000498462;ENSP00000438136"	"P50336"	"PPOX"	"5498"	"protoporphyrinogen oxidase"	"PPO;VP"	"Cytosol;Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000143252"	"ENST00000515731;ENST00000342751;ENST00000367975;ENST00000432287;ENST00000392169;ENST00000513009;ENST00000504963;ENST00000470743"	"ENSP00000356952;ENSP00000356953;ENSP00000390558;ENSP00000376009;ENSP00000423260;ENSP00000423929;ENSP00000482902"	"Q99643"	"SDHC"	"6391"	"succinate dehydrogenase complex subunit C"	"CYB560;cybL;PGL3"	"Inner mitochondria"	"SwissProt"
"ENSG00000143258"	"ENST00000492950;ENST00000289865;ENST00000368002;ENST00000479344;ENST00000368001;ENST00000486299;ENST00000487163;ENST00000482385;ENST00000493054;ENST00000485277"	"ENSP00000476344;ENSP00000289865;ENSP00000356981;ENSP00000476830;ENSP00000356980;ENSP00000492693;ENSP00000491514"	"Q9UK80"	"USP21"	"27005"	"ubiquitin specific peptidase 21"	"USP16;USP23"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143278"	"ENST00000649282;ENST00000367412;ENST00000490002"	"ENSP00000497116;ENSP00000356382"	"P05160"	"F13B"	"2165"	"coagulation factor XIII B chain"	"FXIIIB"	"Extracellular"	"DeepLoc2"
"ENSG00000143315"	"ENST00000368090"	"ENSP00000357069"	"Q9H3S5"	"PIGM"	"93183"	"phosphatidylinositol glycan anchor biosynthesis class M"	"GPI-MT-I"	"Endoplasmic reticulum"	"DeepLoc2"
"ENSG00000143324"	"ENST00000367590;ENST00000367589"	"ENSP00000356562;ENSP00000356561"	"Q9UBH6"	"XPR1"	"9213"	"xenotropic and polytropic retrovirus receptor 1"	"SYG1;X3;SLC53A1"	""	""
"ENSG00000143363"	"ENST00000467771;ENST00000271620;ENST00000462440;ENST00000650332;ENST00000475722;ENST00000450884;ENST00000368937;ENST00000431193;ENST00000368936;ENST00000368935;ENST00000368934"	"ENSP00000271620;ENSP00000497847;ENSP00000387696;ENSP00000357933;ENSP00000392632;ENSP00000357932;ENSP00000357931;ENSP00000357930"	"Q86TP1"	"PRUNE1"	"58497"	"prune exopolyphosphatase 1"	"DRES-17;H-PRUNE;HTCD37;PRUNE"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143379"	"ENST00000525956;ENST00000487584;ENST00000463774;ENST00000271640;ENST00000448029;ENST00000368962;ENST00000534805;ENST00000368969;ENST00000368963;ENST00000459773;ENST00000498193;ENST00000368964;ENST00000423081;ENST00000481219;ENST00000497314;ENST00000528749;ENST00000533529"	"ENSP00000435922;ENSP00000271640;ENSP00000409379;ENSP00000357958;ENSP00000436148;ENSP00000357965;ENSP00000357959;ENSP00000432348;ENSP00000357960;ENSP00000407831"	"Q15047"	"SETDB1"	"9869"	"SET domain bifurcated histone lysine methyltransferase 1"	"ESET;KG1T;KIAA0067;KMT1E;TDRD21"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143387"	"ENST00000678337;ENST00000676716;ENST00000676966;ENST00000443913;ENST00000271651;ENST00000676970;ENST00000679260;ENST00000676680;ENST00000676751;ENST00000677887;ENST00000676824;ENST00000677611;ENST00000678725;ENST00000679148;ENST00000480670;ENST00000679090;ENST00000678275;ENST00000677330;ENST00000679178;ENST00000679171"	"ENSP00000504759;ENSP00000504737;ENSP00000503723;ENSP00000405083;ENSP00000271651;ENSP00000503832;ENSP00000504534;ENSP00000503270;ENSP00000502964;ENSP00000503876;ENSP00000504176;ENSP00000504796"	"P43235"	"CTSK"	"1513"	"cathepsin K"	"CTSO;CTSO2;PKND;PYCD"	"Lysosome"	"SwissProt"
"ENSG00000143393"	"ENST00000368874;ENST00000368875;ENST00000368873;ENST00000529142;ENST00000368872;ENST00000455060;ENST00000446339;ENST00000489889;ENST00000469239;ENST00000430800;ENST00000460323;ENST00000489223;ENST00000438243"	"ENSP00000357868;ENSP00000357869;ENSP00000357867;ENSP00000433149;ENSP00000357866;ENSP00000410974;ENSP00000391546;ENSP00000432426;ENSP00000413599;ENSP00000431501;ENSP00000394719"	"Q9UBF8"	"PI4KB"	"5298"	"phosphatidylinositol 4-kinase beta"	"PI4K-BETA;pi4K92;PIK4CB"	"Endoplasmic reticulum;Golgi apparatus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143398"	"ENST00000447555;ENST00000349792;ENST00000409426;ENST00000441902;ENST00000368890;ENST00000424999;ENST00000368888;ENST00000454769;ENST00000418435;ENST00000468772;ENST00000461816;ENST00000481713;ENST00000486048;ENST00000464105;ENST00000460157;ENST00000486866;ENST00000489625"	"ENSP00000401228;ENSP00000271663;ENSP00000386432;ENSP00000415648;ENSP00000357885;ENSP00000392780;ENSP00000357883;ENSP00000416196;ENSP00000414632"	"Q99755"	"PIP5K1A"	"8394"	"phosphatidylinositol-4-phosphate 5-kinase type 1 alpha"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143418"	"ENST00000482825;ENST00000561294;ENST00000560793;ENST00000345896;ENST00000271688;ENST00000368954;ENST00000460664;ENST00000368949;ENST00000361419;ENST00000559660;ENST00000558062;ENST00000559020;ENST00000421609;ENST00000457392"	"ENSP00000454160;ENSP00000453297;ENSP00000271688;ENSP00000357950;ENSP00000357945;ENSP00000355020;ENSP00000452810;ENSP00000393239;ENSP00000394012"	"Q96G23"	"CERS2"	"29956"	"ceramide synthase 2"	"FLJ10243;LASS2;SP260"	"Endoplasmic reticulum;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000143515"	"ENST00000368489;ENST00000368487;ENST00000368490;ENST00000672630;ENST00000426445;ENST00000514107;ENST00000505882"	"ENSP00000357475;ENSP00000357472;ENSP00000500034"	"P98198"	"ATP8B2"	"57198"	"ATPase phospholipid transporting 8B2"	"ATPID;KIAA1137"	"Endoplasmic reticulum;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143552"	"ENST00000368559;ENST00000368553;ENST00000271854"	"ENSP00000357547;ENSP00000357541;ENSP00000271854"	"Q5VU65"	"NUP210L"	"91181"	"nucleoporin 210 like"	""	"Nucleus"	"CellAtlas"
"ENSG00000143554"	"ENST00000271857;ENST00000484014;ENST00000468403;ENST00000624995;ENST00000483574;ENST00000458027;ENST00000461269;ENST00000531251;ENST00000532853;ENST00000524676;ENST00000468044;ENST00000368660;ENST00000368659"	"ENSP00000271857;ENSP00000485061;ENSP00000389603;ENSP00000433959;ENSP00000434025"	"Q5K4L6"	"SLC27A3"	"11000"	"solute carrier family 27 member 3"	"ACSVL3;FATP3;MGC4365"	"Endoplasmic reticulum"	"CellAtlas"
"ENSG00000143570"	"ENST00000621013;ENST00000537590;ENST00000617697;ENST00000368623;ENST00000356205;ENST00000368621;ENST00000310483;ENST00000413622;ENST00000417348;ENST00000461071"	"ENSP00000484182;ENSP00000443632;ENSP00000479421;ENSP00000357612;ENSP00000348535;ENSP00000357610;ENSP00000309710;ENSP00000392229;ENSP00000407717"	"Q9NY26"	"SLC39A1"	"27173"	"solute carrier family 39 member 1"	"ZIP1;ZIRTL"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000143595"	"ENST00000355197;ENST00000324978;ENST00000484864"	"ENSP00000318355;ENSP00000420341"	"Q96PS8"	"AQP10"	"89872"	"aquaporin 10"	""	"Cell membrane"	"DeepLoc2"
"ENSG00000143627"	"ENST00000342741;ENST00000392414;ENST00000434082"	"ENSP00000339933;ENSP00000376214;ENSP00000398037"	"P30613"	"PKLR"	"5313"	"pyruvate kinase L/R"	""	"Cytosol"	"CellAtlas"
"ENSG00000143641"	"ENST00000494106;ENST00000366672;ENST00000488903;ENST00000485438;ENST00000492568"	"ENSP00000355632"	"Q10471"	"GALNT2"	"2590"	"polypeptide N-acetylgalactosaminyltransferase 2"	"GalNAc-T2"	"Golgi apparatus"	"SwissProt;CellAtlas"
"ENSG00000143653"	"ENST00000366510"	"ENSP00000355467"	"Q8NBX0"	"SCCPDH"	"51097"	"saccharopine dehydrogenase (putative)"	"CGI-49;NET11"	"Endoplasmic reticulum"	"DeepLoc2"
"ENSG00000143753"	"ENST00000415210;ENST00000323699;ENST00000391877;ENST00000465848;ENST00000498813"	"ENSP00000400545;ENSP00000316476;ENSP00000375749"	"O15121"	"DEGS1"	"8560"	"delta 4-desaturase, sphingolipid 1"	"DEGS-1;Des-1;DES1;FADS7;MLD"	"Endoplasmic reticulum;Mitochondria"	"SwissProt;CellAtlas"
"ENSG00000143772"	"ENST00000272117;ENST00000429204;ENST00000366784"	"ENSP00000272117;ENSP00000411152;ENSP00000355748"	"P27987"	"ITPKB"	"3707"	"inositol-trisphosphate 3-kinase B"	"IP3-3KB;IP3KB"	"Endoplasmic reticulum;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143774"	"ENST00000366730;ENST00000462807;ENST00000391865;ENST00000493209;ENST00000485838;ENST00000469973;ENST00000485083;ENST00000366726;ENST00000312726;ENST00000492871;ENST00000366728;ENST00000453943;ENST00000366723;ENST00000493138;ENST00000366722;ENST00000498092;ENST00000435153;ENST00000366721;ENST00000491613;ENST00000485733;ENST00000460224;ENST00000484953;ENST00000472939;ENST00000412265;ENST00000366718;ENST00000470040;ENST00000366716;ENST00000485859;ENST00000485168;ENST00000478725;ENST00000495999;ENST00000486668;ENST00000464858;ENST00000481341;ENST00000498115;ENST00000465025;ENST00000477206;ENST00000471270;ENST00000480056"	"ENSP00000355691;ENSP00000375738;ENSP00000355687;ENSP00000317659;ENSP00000355689;ENSP00000401832;ENSP00000355684;ENSP00000355683;ENSP00000403664;ENSP00000355682;ENSP00000407604;ENSP00000355679;ENSP00000355677"	"Q16774"	"GUK1"	"2987"	"guanylate kinase 1"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143797"	"ENST00000305997;ENST00000471753;ENST00000486315;ENST00000473432;ENST00000486484;ENST00000494760;ENST00000477073;ENST00000474341;ENST00000462696;ENST00000460786"	"ENSP00000302177;ENSP00000419573;ENSP00000420114;ENSP00000417409"	"Q6ZWT7"	"MBOAT2"	"129642"	"membrane bound O-acyltransferase domain containing 2"	"FLJ14415;FLJ90298;OACT2"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000143799"	"ENST00000677189;ENST00000677985;ENST00000678288;ENST00000678226;ENST00000676481;ENST00000366794;ENST00000678560;ENST00000677884;ENST00000677203;ENST00000676565;ENST00000678144;ENST00000677091;ENST00000678781;ENST00000676685;ENST00000679276;ENST00000498787;ENST00000676709;ENST00000490921;ENST00000463968;ENST00000491816;ENST00000468608;ENST00000677374;ENST00000677815;ENST00000469663;ENST00000366792;ENST00000366790"	"ENSP00000355759;ENSP00000503293;ENSP00000503396;ENSP00000504430;ENSP00000504745"	"P09874"	"PARP1"	"142"	"poly(ADP-ribose) polymerase 1"	"ADPRT;ARTD1;PARP;PPOL"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143811"	"ENST00000612651;ENST00000612039;ENST00000343818;ENST00000478402;ENST00000466127;ENST00000446534;ENST00000489681;ENST00000472798;ENST00000467298"	"ENSP00000482845;ENSP00000478165;ENSP00000342502;ENSP00000482614;ENSP00000480779"	"Q96C36"	"PYCR2"	"29920"	"pyrroline-5-carboxylate reductase 2"	"P5CR2"	"Mitochondria;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143815"	"ENST00000272163;ENST00000338179;ENST00000651341;ENST00000441022;ENST00000424022;ENST00000487054;ENST00000425080;ENST00000488632;ENST00000421383"	"ENSP00000272163;ENSP00000339883;ENSP00000499114;ENSP00000388059;ENSP00000416554"	"Q14739"	"LBR"	"3930"	"lamin B receptor"	"DHCR14B;TDRD18"	"Endoplasmic reticulum;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143819"	"ENST00000272167;ENST00000448202;ENST00000614058;ENST00000366837;ENST00000467015"	"ENSP00000272167;ENSP00000408469;ENSP00000480004;ENSP00000355802"	"P07099"	"EPHX1"	"2052"	"epoxide hydrolase 1"	"EPHX"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000143845"	"ENST00000367201;ENST00000367202;ENST00000367197;ENST00000422072;ENST00000472340;ENST00000492392;ENST00000422699;ENST00000452983;ENST00000444817;ENST00000477125;ENST00000429525"	"ENSP00000356169;ENSP00000356170;ENSP00000356165;ENSP00000410580;ENSP00000405497;ENSP00000398091;ENSP00000406241;ENSP00000394618"	"Q9NVF9"	"ETNK2"	"55224"	"ethanolamine kinase 2"	"EKI2;FLJ10761"	"Cytosol"	"DeepLoc2"
"ENSG00000143870"	"ENST00000272227;ENST00000404371;ENST00000404824;ENST00000489662;ENST00000458536;ENST00000617249;ENST00000540494;ENST00000381611"	"ENSP00000272227;ENSP00000385385;ENSP00000384459;ENSP00000389558;ENSP00000481892;ENSP00000438778;ENSP00000371024"	"Q15084"	"PDIA6"	"10130"	"protein disulfide isomerase family A member 6"	"ERp5;P5;TXNDC7"	"Endoplasmic reticulum;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143882"	"ENST00000648362;ENST00000272238;ENST00000381661;ENST00000635370;ENST00000480289"	"ENSP00000497038;ENSP00000272238;ENSP00000371077;ENSP00000489280"	"Q8NEY4"	"ATP6V1C2"	"245973"	"ATPase H+ transporting V1 subunit C2"	"ATP6C2;VMA5"	"Mitochondria"	"CellAtlas"
"ENSG00000143891"	"ENST00000272252;ENST00000427858;ENST00000410063;ENST00000444351;ENST00000434934"	"ENSP00000272252;ENSP00000386233;ENSP00000409083;ENSP00000399473"	"Q96C23"	"GALM"	"130589"	"galactose mutarotase"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000143921"	"ENST00000644611;ENST00000643284;ENST00000272286"	"ENSP00000495423;ENSP00000272286"	"Q9H221"	"ABCG8"	"64241"	"ATP binding cassette subfamily G member 8"	"GBD4"	"Cell membrane"	"DeepLoc2"
"ENSG00000143933"	"ENST00000272298;ENST00000460218;ENST00000652974;ENST00000655450;ENST00000432899;ENST00000456319;ENST00000670593;ENST00000668667;ENST00000656538;ENST00000655728;ENST00000482532;ENST00000409563;ENST00000484408;ENST00000489742;ENST00000628793"	"ENSP00000272298;ENSP00000499369;ENSP00000499266;ENSP00000406112;ENSP00000411440;ENSP00000499706;ENSP00000499357;ENSP00000499656;ENSP00000387065;ENSP00000499468;ENSP00000499354;ENSP00000486952"	"P0DP24"	"CALM2"	"805"	"calmodulin 2"	"CAMII;PHKD"	"Cytosol"	"SwissProt"
"ENSG00000144035"	"ENST00000272425"	"ENSP00000272425"	"Q9UHE5"	"NAT8"	"9027"	"N-acetyltransferase 8 (putative)"	"ATase2;GLA;Hcml1;TSC501"	"Endoplasmic reticulum"	"SwissProt;CellAtlas"
"ENSG00000144048"	"ENST00000272444;ENST00000480948;ENST00000477458;ENST00000443070;ENST00000452812"	"ENSP00000272444;ENSP00000413444;ENSP00000394535"	"O75319"	"DUSP11"	"8446"	"dual specificity phosphatase 11"	"PIR1"	"Nucleus"	"SwissProt;CellAtlas"
"ENSG00000144057"	"ENST00000361686;ENST00000409382;ENST00000361803;ENST00000409087;ENST00000419159"	"ENSP00000355273;ENSP00000386942;ENSP00000355386;ENSP00000387332;ENSP00000395581"	"Q96JF0"	"ST6GAL2"	"84620"	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"	"KIAA1877;SIAT2;St6GalII"	"Golgi apparatus;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000144136"	"ENST00000272542;ENST00000423633;ENST00000498224;ENST00000433924;ENST00000456264;ENST00000413135;ENST00000480984;ENST00000492076;ENST00000490674"	"ENSP00000272542;ENSP00000392050;ENSP00000390021;ENSP00000403763;ENSP00000413393"	"Q8WUM9"	"SLC20A1"	"6574"	"solute carrier family 20 member 1"	"Glvr-1;GLVR1;PiT-1"	"Golgi apparatus"	"CellAtlas"
"ENSG00000144182"	"ENST00000393471;ENST00000393473;ENST00000651691;ENST00000449211;ENST00000434566;ENST00000480170;ENST00000415142;ENST00000436234"	"ENSP00000377114;ENSP00000377115;ENSP00000498546;ENSP00000387387;ENSP00000393591;ENSP00000398168;ENSP00000406314"	"Q9Y234"	"LIPT1"	"51601"	"lipoyltransferase 1"	"MGC12290;MGC13378"	"Mitochondria"	"DeepLoc2"
"ENSG00000144231"	"ENST00000272645;ENST00000409955;ENST00000487079;ENST00000409698"	"ENSP00000272645;ENSP00000387323;ENSP00000387117"	"O15514"	"POLR2D"	"5433"	"RNA polymerase II subunit D"	"RPB4"	"Nucleus"	"SwissProt;CellAtlas"
"ENSG00000144278"	"ENST00000392825;ENST00000434213;ENST00000409237;ENST00000431076;ENST00000487047;ENST00000450838;ENST00000422126;ENST00000453715;ENST00000489553;ENST00000494805"	"ENSP00000376570;ENSP00000414403;ENSP00000387239;ENSP00000389447;ENSP00000406237;ENSP00000391469;ENSP00000396612"	"Q8IUC8"	"GALNT13"	"114805"	"polypeptide N-acetylgalactosaminyltransferase 13"	"GalNAc-T13;KIAA1918"	"Golgi apparatus"	"SwissProt"
"ENSG00000144290"	"ENST00000482861;ENST00000605990;ENST00000606386;ENST00000415876;ENST00000493021;ENST00000461456;ENST00000272716;ENST00000446997;ENST00000481721;ENST00000446228;ENST00000421911;ENST00000375514"	"ENSP00000395797;ENSP00000272716;ENSP00000393066;ENSP00000389180;ENSP00000404486;ENSP00000364664"	"Q6U841"	"SLC4A10"	"57282"	"solute carrier family 4 member 10"	"NBCn2;NCBE"	"Cell membrane"	"DeepLoc2"
"ENSG00000144357"	"ENST00000272793;ENST00000430321;ENST00000392632;ENST00000477461;ENST00000487689;ENST00000439681;ENST00000444475;ENST00000465630;ENST00000474426;ENST00000484596"	"ENSP00000272793;ENSP00000415982;ENSP00000376409;ENSP00000389097;ENSP00000408436"	"Q6ZT12"	"UBR3"	"130507"	"ubiquitin protein ligase E3 component n-recognin 3"	"DKFZp434P117;FLJ37422;KIAA2024;ZNF650"	"Nucleus"	"CellAtlas"
"ENSG00000144362"	"ENST00000616481;ENST00000616524;ENST00000617738;ENST00000359744;ENST00000438838;ENST00000438710;ENST00000449906;ENST00000476919"	"ENSP00000481680;ENSP00000481046;ENSP00000481857;ENSP00000352782;ENSP00000393983;ENSP00000411844;ENSP00000416790"	"Q8TCD6"	"PHOSPHO2"	"493911"	"phosphatase, orphan 2"	"MGC22679"	"Nucleus"	"CellAtlas"
"ENSG00000144583"	"ENST00000273067"	"ENSP00000273067"	"Q9P2E8"	"MARCHF4"	"57574"	"membrane associated ring-CH-type finger 4"	"KIAA1399;MARCH-IV;MARCH4;RNF174"	"Cell membrane;Endoplasmic reticulum;Lysosome;Golgi apparatus"	"DeepLoc2"
"ENSG00000144659"	"ENST00000650617;ENST00000431510;ENST00000645630;ENST00000648579;ENST00000642683;ENST00000645280;ENST00000643672;ENST00000642978;ENST00000642442"	"ENSP00000497532;ENSP00000394244;ENSP00000493714;ENSP00000497638;ENSP00000495376;ENSP00000496690;ENSP00000494532;ENSP00000494342"	"Q96DW6"	"SLC25A38"	"54977"	"solute carrier family 25 member 38"	"FLJ20551"	"Inner mitochondria"	"SwissProt"
"ENSG00000144741"	"ENST00000676754;ENST00000354883;ENST00000336733;ENST00000464350;ENST00000413054;ENST00000483224;ENST00000484768"	"ENSP00000504323;ENSP00000346955;ENSP00000336801;ENSP00000432574;ENSP00000415304;ENSP00000437217"	"Q70HW3"	"SLC25A26"	"115286"	"solute carrier family 25 member 26"	""	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000144744"	"ENST00000415609;ENST00000361055;ENST00000349511;ENST00000461934;ENST00000465627;ENST00000461522;ENST00000465108;ENST00000493957;ENST00000466763;ENST00000485424;ENST00000464605;ENST00000630585;ENST00000631029"	"ENSP00000400294;ENSP00000354340;ENSP00000340041;ENSP00000417547;ENSP00000419077;ENSP00000486985;ENSP00000486366"	"Q8TBC4"	"UBA3"	"9039"	"ubiquitin like modifier activating enzyme 3"	"hUba3;NAE2;UBE1C"	"Cytosol;Nucleus"	"CellAtlas"
